iter	Passed	Remaining
613	1385	870
614	1387	868
615	1390	866
616	1392	864
617	1395	862
618	1398	860
619	1400	858
620	1402	856
621	1405	853
622	1407	851
623	1409	849
624	1412	847
625	1414	845
626	1417	843
627	1419	840
628	1421	838
629	1424	836
630	1427	834
631	1429	832
632	1432	830
633	1435	828
634	1437	826
635	1440	824
636	1442	822
637	1445	820
638	1447	817
639	1450	815
640	1452	813
641	1454	811
642	1457	809
643	1459	806
644	1461	804
645	1464	802
646	1466	800
647	1468	797
648	1471	795
649	1473	793
650	1475	791
651	1478	788
652	1480	786
653	1483	784
654	1486	782
655	1488	780
656	1490	778
657	1492	775
658	1495	774
659	1498	771
660	1500	769
661	1503	767
662	1506	765
663	1508	763
664	1510	761
665	1513	759
666	1515	756
667	1518	754
668	1520	752
669	1522	749
670	1524	747
671	1527	745
672	1529	743
673	1531	740
674	1534	738
675	1536	736
676	1539	734
677	1541	732
678	1544	729
679	1546	727
680	1548	725
681	1551	723
682	1553	721
683	1555	718
684	1558	716
685	1560	714
686	1563	712
687	1565	710
688	1567	707
689	1570	705
690	1572	703
691	1575	701
692	1577	698
693	1579	696
694	1582	694
695	1584	692
696	1587	689
697	1589	687
698	1591	685
699	1593	683
700	1596	680
701	1598	678
702	1601	676
703	1603	674
704	1606	672
705	1608	669
706	1611	667
707	1613	665
708	1615	663
709	1618	660
710	1620	658
711	1623	656
712	1625	654
713	1628	652
714	1630	649
715	1632	647
716	1635	645
717	1637	643
718	1639	640
719	1642	638
720	1644	636
721	1647	634
722	1649	632
723	1652	629
724	1654	627
725	1657	625
726	1659	623
727	1661	620
728	1664	618
729	1666	616
730	1668	614
731	1670	611
732	1673	609
733	1675	607
734	1677	604
735	1680	602
736	1682	600
737	1685	598
738	1687	596
739	1690	593
740	1692	591
741	1695	589
742	1697	587
743	1699	584
744	1702	582
745	1704	580
746	1707	578
747	1709	575
748	1711	573
749	1714	571
750	1716	569
751	1719	567
752	1721	564
753	1724	562
754	1726	560
755	1729	558
756	1731	555
757	1734	553
758	1737	551
759	1740	549
760	1743	547
761	1745	545
762	1748	543
763	1750	540
764	1753	538
765	1756	536
766	1758	534
767	1761	532
768	1764	529
769	1767	527
770	1770	525
771	1772	523
772	1775	521
773	1778	519
774	1781	517
775	1784	515
776	1787	512
777	1790	510
778	1792	508
779	1795	506
780	1798	504
781	1801	502
782	1804	500
783	1807	497
784	1810	495
785	1813	493
786	1816	491
787	1819	489
788	1822	487
789	1825	485
790	1828	483
791	1831	480
792	1834	478
793	1836	476
794	1839	474
795	1842	472
796	1845	470
797	1848	467
798	1851	465
799	1853	463
800	1856	461
801	1859	459
802	1862	456
803	1864	454
804	1867	452
805	1870	450
806	1872	447
807	1875	445
808	1878	443
809	1880	441
810	1883	438
811	1886	436
812	1889	434
813	1891	432
814	1894	430
815	1897	427
816	1899	425
817	1902	423
818	1905	421
819	1907	418
820	1910	416
821	1912	414
822	1915	412
823	1918	409
824	1921	407
825	1923	405
826	1926	403
827	1929	400
828	1932	398
829	1934	396
830	1937	394
831	1940	391
832	1942	389
833	1945	387
834	1947	384
835	1950	382
836	1952	380
837	1954	377
838	1957	375
839	1959	373
840	1961	370
841	1964	368
842	1966	366
843	1968	363
844	1971	361
845	1973	359
846	1976	356
847	1978	354
848	1980	352
849	1983	349
850	1985	347
851	1987	345
852	1989	342
853	1992	340
854	1994	338
855	1996	335
856	1999	333
857	2001	331
858	2003	328
859	2006	326
860	2008	324
861	2011	321
862	2013	319
863	2016	317
864	2018	315
865	2020	312
866	2023	310
867	2025	308
868	2027	305
869	2030	303
870	2032	301
871	2035	298
872	2037	296
873	2039	294
874	2041	291
875	2044	289
876	2046	287
877	2049	284
878	2051	282
879	2054	280
880	2056	277
881	2058	275
882	2061	273
883	2063	270
884	2065	268
885	2068	266
886	2070	263
887	2072	261
888	2075	259
889	2077	256
890	2080	254
891	2082	252
892	2084	249
893	2086	247
894	2089	245
895	2091	242
896	2094	240
897	2096	238
898	2099	235
899	2101	233
900	2104	231
901	2106	228
902	2108	226
903	2111	224
904	2113	221
905	2115	219
906	2118	217
907	2120	214
908	2123	212
909	2125	210
910	2127	207
911	2129	205
912	2132	203
913	2134	200
914	2137	198
915	2139	196
916	2141	193
917	2144	191
918	2146	189
919	2148	186
920	2150	184
921	2153	182
922	2155	179
923	2157	177
924	2160	175
925	2162	172
926	2164	170
927	2167	168
928	2169	165
929	2172	163
930	2174	161
931	2176	158
932	2179	156
933	2181	154
934	2183	151
935	2186	149
936	2188	147
937	2191	144
938	2193	142
939	2195	140
940	2198	137
941	2200	135
942	2203	133
943	2205	130
944	2207	128
945	2210	126
946	2212	123
947	2215	121
948	2217	119
949	2219	116
950	2222	114
951	2224	112
952	2226	109
953	2228	107
954	2231	105
955	2233	102
956	2236	100
957	2238	98
958	2240	95
959	2242	93
960	2245	91
961	2247	88
962	2250	86
963	2252	84
964	2254	81
965	2256	79
966	2259	77
967	2261	74
968	2263	72
969	2265	70
970	2267	67
971	2269	65
972	2271	63
973	2273	60
974	2275	58
975	2278	56
976	2280	53
977	2282	51
978	2284	49
979	2286	46
980	2288	44
981	2290	41
982	2292	39
983	2294	37
984	2296	34
985	2298	32
986	2300	30
987	2303	27
988	2305	25
989	2307	23
990	2309	20
991	2311	18
992	2313	16
993	2315	13
994	2318	11
995	2319	9
996	2322	6
997	2324	4
998	2326	2
999	2328	0
